hopcount,size,stations
1,2,DLD UTO 
2,5,AMF HOR HVSP STZ UT 
3,24,AMFS APD ASA ASB ASD DB DV DVD GD GDG HT HVL HVS KLP MAS NKK NS ST UTLR UTM UTVR UTZL WD ZL 
4,50,AML APDM APDO ASDM ASDZ ASHD ASN ASS AVAT BDG BKL BNK BNN DL DMNZ DVC EHV GV GVC HD HDE HGV HLM HNO HTO HVSM KPNZ LLZM MP MRN NDB NWK O OST PT RAI RAT RTA RTD SD SHL TB UTLN UTT VB VG WADT WV ZLSH ZP 
5,60,AC AKM AMPO AMRI APN ASDL ASSP BD BL BLL BMN BNC BRN BSMZ BTL CPS DT DTCP EML GN GP GVMW HAD HFD HM HMBV HN HON HR HRN HTN HWZB KBK KPN LAA LC LW NVD OMN OVN PMR RS RTB RTN RVS SDM SWK TBU TWL VD VNDW VTN VZ WAD WH WP WT WZ ZD ZTMO 
6,53,ALMM BDPB BET BN BNZ BSK CAS DA DEI DMN DN ETN FN FWD GERP GNN GO GW HDB HDG HLMS HMBH HMH HNK HTNC HZE KZ LDL LWC MG MRB NVP OT OW PMO RL RM RSN RSW RTZ SKND SPTZ SWD TBR VEM VNDC WADN WC YPB ZDK ZH ZTM ZVT 
7,38,ALM AMR BDM BF BP BSKS CL CO DDN DRP DWE EC EHS GBG GK GZ HKS HLG HLO HRT KW LEDN LTN LTV MZ PMW RHN RLB RTST SDA SK SM SPTN STD VHP WDN WSM ZZS 
8,32,ALMB ALMO ALMP AMRN BKG BR BRD DLN DRH DVNK EDC EMNZ GDM GLN HGLG HLGH HRL IJT LLS LUT MT MTH RV SRN SSH STM UST VH WFM WM WS WWW 
9,27,APG BK BKF BSD DRON ED EMN HGL HGZ HIL HRLW HWD KMA LG LP MTN MTR NSCH SBK TPSW UHZ VL VST WK WW ZBM ZWD 
10,27,AH BDE DZ DZW EDN EGH EGHM EKZ ES ESK GVM HGLO HNP LDM MES OBD ODZ SGN SN TG TL UHM UTG VDL WF WR ZB 
11,20,AHP AHZ AKL ANA CVM DR ESE EST HK KMR KMW KTR LEER NH NM OTB RD SGL VDM ZV 
12,16,AHPR BV DID EEM GBR GR HB HDRZ KRD NMGO NMH NML OP SOG STV WTV 
13,9,BHDV DVN HDR HMN MMLH NMD VK VP WL 
14,5,CK DTCH GND RH ZA 
15,4,BMR DTC HBZM SDT 
16,3,GDR SDTB VLB 
17,3,DDRS TBG VRY 
18,2,DDR VSV 
19,4,ATN DDZD RSD ZLW 
20,2,BGN ZVB 
21,4,GS KRG ODB RB 
22,4,ARN BZL KBD MDB 
23,2,VS VSS 
